True_Equation,Predict_Equation,MSE,R^2,Relative Error
x_2+sin(x_1)+tan(x_1*(x_2+0.973))-1.457,x_2 - tan(1.11813437342642*x_1*x_2*(x_1 + x_2 + 0.04829540032719)) - 1.05636436282592,15.41326141,0.736210823,1.011700034
x_2+sin(x_1)+tan(x_1*(x_2-1.38)),x_2 - tan(0.817489804324358*x_1*(x_2 + 1.71198757826983)) - 0.0860541276601214,221.6146851,0.884971201,0.791606307
0.481*x_2+sin(x_1-0.717)+tan(x_1*(x_2+1.581)),0.198858707290147*x_2 - tan(0.105692733471762*x_1*x_2) + 1.50553390026964,720.0223389,0.875672877,3.149690628
x_2+sin(x_1)+tan(x_1*(x_2-1.089)),x_2 - tan(x_1 + sin(0.135392980132156*x_1) - 0.943667236229799) - 0.653780829971574,37.88909531,0.839173198,2.573636532
x_2+1.615*sin(1.744*x_1)+tan(x_1*x_2)+1.581,x_2 + 0.3105303564254*cos(2.95917581317036*x_1) + tan(x_1*x_2) + 1.71453117017543,1.35313952,0.970694721,1.443977475
x_2-0.176*sin(1.334*x_1)+tan(x_1*(x_2+0.551)),x_2 + tan((x_2 + 0.927591262846349)*(x_1 + 1.10315082510903*x_2 - 0.925684477443441)),30.25012207,0.762760222,1.37312746
x_2+sin(x_1)+tan(x_1*x_2),x_2 + sin(x_1) + tan(x_1*x_2),14.39120102,1,2.323643923
x_2+sin(x_1)+tan(x_1*x_2),x_2 + sin(x_1) + tan(x_1*x_2),7.81E-07,1,4.36E-06
x_2+sin(x_1)+tan(x_1*x_2)+1.698,x_2+sin(x_1)+tan(x_1*x_2)+1.69800000000001,38.29888535,1,3.051772833
x_2+sin(x_1-1.041)+tan(x_1*x_2),x_2 + sin(0.999994699476864*x_1 - 1.04098109377584) + tan(x_1*x_2),2.59E-07,1,1.84E-05
x_1**2*(0.151525704766353*exp(x_1)-1.214)/x_2,-0.151525767827575*x_1**2*(-6.24737659628691e-5*x_2 - exp(x_1) + 8.0118377667826)/x_2,9.32E-07,1,4.19E-05
x_1**2*exp(x_1)/(x_2-0.198),0.494572934977296*x_1*(x_1 - 160.573533511795*(0.126234037647073*x_1 - 1)**2)*exp(x_1)/x_2,103684192,0.655127525,113.683548
x_1**2*exp(x_1)/x_2,378.573350292639*x_1 + x_1*(18.7176193347708 - 1.84488667143062*x_1)*exp(x_1)/x_2,26959496,0.909272313,193927.625
(x_1+0.058)**2*(exp(x_1)+1.705)/x_2,x_1*(x_1 + 0.0228182667901575*exp(x_1 + 0.525461762342316*x_2) + 5.98114962094964)/x_2,172773168,0.379823625,44.64061356
(x_1+0.62)**0.163*exp(-1.565*x_1)/x_2,1.55916082806737/(x_2*(exp(x_1) - 0.320022766476461*sin(x_1 + 1.86717358111035) + 0.690170655238625)**1.61147199787701),1.62E-07,0.999993265,0.097373687
x_1**2*exp(x_1)/x_2,x_1*(8.53493578474864*x_1*(0.0869735543406602*x_1 - 1)**2 + x_1 - 9.83103366258844)*exp(x_1)/x_2,27941040,0.895457566,16.02674484
1.3868493466575*x_1**2*(exp(x_1)-0.971)/x_2,x_1**2*(-9.50923435603572*x_1 + 28.3175289212782*x_1*exp(0.228421316908946*x_1)/x_2),39177084,0.83202076,116.3631516
x_1**2*exp(x_1)/x_2,1.60639194353697*x_1*(-0.0985153365902925*x_1**2 + x_1)*exp(x_1)/x_2,129347552,0.6867823,0.956257463
x_1**2*exp(x_1)/x_2,0.09874417386417*x_1**2*exp(x_1)/(x_2 + 1.00922205717931),87456848,0.558551192,0.868101299
x_1**2*exp(x_1)/x_2,x_1 - x_1*(-4.88410614786468*x_1 + 0.353978988938287*exp(x_1))*(x_2 - 17.1437806099421)/x_2,7082693,0.943799615,73164.70313
x_1,x_1*exp(x_1/(-x_1 - 1.5237550670331e+204*(-x_1 - 7.84718184861675e-69)**2)),0,1,0
x_1-0.52,x_1 - 0.622164405689457*x_1/(x_1 - 1.28582234293001e-8*(0.205902586341386*x_1 - 1)**3) + 0.102164477100297,8.05E-14,1,2.31E-07
2.688526-1.447*x_1,-0.617326775318062*x_1 + 3.68852594324382 + (-0.829673213584433*x_1**2 - x_1)/x_1,1.70E-13,1,5.95E-08
x_1,x_1*exp(x_1/(-x_1 - 5.13576642009933e+681*(x_1 - 1.14901862794393e-227)**2)),0,1,0
1.195*x_1,0.532098240136971*x_1 + 0.662901730926015*x_1*exp(-1.37064641717646e-9*(0.0535533927191601*x_1 - 1)**4),9.25E-14,1,2.80E-08
x_1,x_1*exp(x_1/(251.659342908326*x_1 - 128601683.101528*(0.00186648472099206*x_1 - 1)**2)),1.34E-13,1,2.24E-08
1.144*x_1+2.15644,0.501907381826928*x_1 + (x_1 + 2.57006120188367)/tan(1) + 0.506222683840873,8.55E-14,1,3.38E-08
x_1*x_2*sqrt(cos(x_1))-0.975*x_1,x_1*x_2*sqrt(cos(x_1)) - 0.974999984532617*x_1,5.90E-12,1,1.00E-07
x_1*x_2*sqrt(cos(x_1))+x_1,1.00000002227924*x_1*x_2*sqrt(cos(x_1)) + 0.999999870275804*x_1,1.16E-11,1,1.92E-07
x_1*x_2*sqrt(cos(x_1))+x_1,x_1*x_2*sqrt(cos(x_1)) + x_1 - 5.11948863968215e-7,5.90E-12,1,9.58E-07
x_1*x_2*sqrt(cos(x_1))+x_1,x_1*x_2*sqrt(cos(x_1)) + 0.999999896510133*x_1 + 1.3748801244674e-7,1.63E-11,1,9.12E-07
